Key,Value,Context
A game by,Ein Spiel von,
Anda Huzau,Anda Huzau,
Andrews Magnoni,Andrews Magnoni,
Arto Österman,Arto Österman,
Awesome!,Awesome!,
Conditions can also be greater than or less than,Konditionen können auch größer als oder weniger als sein,
Daniel Pellicer García,Daniel Pellicer García,
David Saltares Márquez,David Saltares Márquez,
Have your go at division,Probier mit den Divisionen,
Irene Saltares Márquez,Irene Saltares Márquez,
Level %d,Level %d,
Level completed!,Level vollendet!,
Localisation,Übersetzung,
Meet multiplications!,Lern kennen die Multiplikationen!,
Order when combining multiplication and addition matters,Die Multiplikationen und Additionen Kombination Ordnung  ist wichtig,
Original Soundtrack,Originalton,
Paused,Pause,
Pick a level,Lies einen Level aus,
Powered by,Gemacht mit,
Samuel Föger,Samuel Föger,
Sergi Juárez Carceller,Sergi Juárez Carceller,
Sometimes you have to combine operations,Manchmal brauchst du die Operationen kombinieren ,
Tap or swipe to move to the star,Schlag um die Stern einzutreffen an,
Time,Zeit,
Use operations to go through condition blocks,Benutz die Operationen um durch die Blöcke zu gehen,
We also have less than conditions,Wir haben auch Konditionen weniger als ,
Well done!,Gut gemacht!,
Why not try subtractions this time?,Warum versuchst du diesmal nicht subtrahieren?,
You can use blue operations more than once,Du kanst blauen operationen verschiedentlich benutzen,
You can use operation blocks,Du kanst die Operationen Blöcke benutzen,
You can't go past 99 points,Du kanst übersteigen die 99 Punkte,
You're a star!,Du bist der best!,
