Key,Value,Context
A game by,A game by,
Anda Huzau,Anda Huzau,
Awesome!,Awesome!,
Conditions can also be greater than or less than,Conditions can also be greater than or less than,
Daniel Pellicer García,Daniel Pellicer García,
David Saltares Márquez,David Saltares Márquez,
Have your go at division,Have your go at division,
Irene Saltares Márquez,Irene Saltares Márquez,
Level %d,Level %d,
Level completed!,Level completed!,
Localisation,Localisation,
Meet multiplications!,Meet multiplications!,
Order when combining multiplication and addition matters,Order when combining multiplication and addition matters,
Original Soundtrack,Original Soundtrack,
Paused,Paused,
Pick a level,Pick a level,
Powered by,Powered by,
Samuel Föger,Samuel Föger,
Sergi Juárez Carceller,Sergi Juárez Carceller,
Sometimes you have to combine operations,Sometimes you have to combine operations,
Tap or swipe to move to the star,Tap or swipe to move to the star,
Time,Time,
Use operations to go through condition blocks,Use operations to go through condition blocks,
We also have less than conditions,We also have less than conditions,
Well done!,Well done!,
Why not try subtractions this time?,Why not try subtractions this time?,
You can use blue operations more than once,You can use blue operations more than once,
You can use operation blocks,You can use operation blocks,
You can't go past 99 points,You can't go past 99 points,
You're a star!,You're a star!,
