Key,Value,Context
A game by,Peli tekijältä,
Anda Huzau,Anda Huzau,
Andrews Magnoni,Andrews Magnoni,
Arto Österman,Arto Österman,
Awesome!,Mahtavaa!,
Conditions can also be greater than or less than,Ehtona voi olla myös suurempi tai pienempi kuin,
Daniel Pellicer García,Daniel Pellicer García,
David Saltares Márquez,David Saltares Márquez,
Have your go at division,Kokeile jakolaskua,
Irene Saltares Márquez,Irene Saltares Márquez,
Level %d,Taso %d,
Level completed!,Taso suoritettu!,
Localisation,Käännös,
Meet multiplications!,Kohtaa kertolaskut!,
Order when combining multiplication and addition matters,Kerto,
Original Soundtrack,Musiikki,
Paused,Pysäytetty,
Pick a level,Valitse taso,
Powered by,Pelimoottorina toimii,
Samuel Föger,Samuel Föger,
Sergi Juárez Carceller,Sergi Juárez Carceller,
Sometimes you have to combine operations,Joskus täytyy yhdistellä laskutoimituksia,
Tap or swipe to move to the star,Napauta tai pyyhkäise liikuttaaksesi tähteä,
Time,Aika,
Use operations to go through condition blocks,Käytä laskutoimituksia päästäksesi ehtolohkoista läpi,
We also have less than conditions,Myös pienempi kuin ,
Well done!,Hyvää työtä!,
Why not try subtractions this time?,Mikset kokeilisi vähennyslaskua seuraavaksi?,
You can use blue operations more than once,Voit käyttää sinisiä laskutoimituksia useammin kuin kerran,
You can use operation blocks,Voit käyttää laskutoimituslohkoja,
You can't go past 99 points,Et voi ylittää 99:ää pistettä,
You're a star!,Sinä olet tähti!,
