Key,Value,Context
A game by,Un jeu réalisé par,
Anda Huzau,Anda Huzau,
Andrews Magnoni,Andrews Magnoni,
Arto Österman,Arto Österman,
Awesome!,Impressionant!,
Conditions can also be greater than or less than,Les conditions peuvent être plus grand que ou mineur que ,
Daniel Pellicer García,Daniel Pellicer García,
David Saltares Márquez,David Saltares Márquez,
Have your go at division,Essaie avec les divisions ,
Irene Saltares Márquez,Irene Saltares Márquez,
Konrad Kierys,Konrad Kierys,
Level %d,Niv. %d,
Level completed!,Niveau complété!,
Localisation,Traduction,
Meet multiplications!,Connais les multiplications!,
Order when combining multiplication and addition matters,L'ordre de combiner les multiplications et les additions importe,
Original Soundtrack,Original Soundtrack,
Paused,Pause,
Pick a level,Choisis un niveau,
Powered by,Merci a,
Ross Tregenza,Ross Tregenza,
SFX,Des effets sonores ,
Samuel Föger,Samuel Föger,
Send mail...,Envoyez un email...,
Sergi Juárez Carceller,Sergi Juárez Carceller,
Sometimes you have to combine operations,De temps en temps il faut combiner les opérations ,
Tap or swipe to move to the star,Appuie sur ton numéro pour arriver à l'étoile,
The % operation gives the remainder of the division,L'opérateur % donne le reste de la division ,
Time,Temps,
Use operations to go through condition blocks,Utilise les opérations pour passer par les blocs,
We also have less than conditions,Il y a aussi des conditions mineur que,
Well done!,Bien fait!,
Why not try subtractions this time?,Pourquoi pas essayer avec les soustraction cette fois,ci?
You can use blue operations more than once,Tu peut utiliser les opérations en bleu plusieurs fois,
You can use operation blocks,Tu peut utiliser les blocs d'opérations,
You can't go past 99 points,Tu en peut pas dépasser les 99 points,
You're a star!,Tu est le meilleur!,
