Key,Value,Context
A game by,Um jogo de,
Anda Huzau,Anda Huzau,
Andrews Magnoni,Andrews Magnoni,
Arto Österman,Arto Österman,
Awesome!,Incrível!,
Conditions can also be greater than or less than,As condições também podem ser maiores que ou menores que,
Daniel Pellicer García,Daniel Pellicer García,
David Saltares Márquez,David Saltares Márquez,
Have your go at division,Agora vamos para a divisão,
Irene Saltares Márquez,Irene Saltares Márquez,
Level %d,Nível %d,
Level completed!,Nível completo!,
Localisation,Localização,
Meet multiplications!,Conheça as multiplicações!,
Order when combining multiplication and addition matters,A ordem é importante quando combinar multiplicação e adição,
Original Soundtrack,Trilha sonora original,
Paused,Pausado,
Pick a level,Escolha um nível,
Powered by,Desenvolvido com,
Samuel Föger,Samuel Föger,
Sergi Juárez Carceller,Sergi Juárez Carceller,
Sometimes you have to combine operations,Algumas vezes você precisará combinar as operações,
Tap or swipe to move to the star,Toque ou deslize para mover até a estrela,
Time,Tempo,
Use operations to go through condition blocks,Use as operações para mover através das condições dos blocos,
We also have less than conditions,Nós também temos menor que nas condições,
Well done!,Bom trabalho!,
Why not try subtractions this time?,Porque não tenta subtrações desta vez?,
You can use blue operations more than once,Você pode usar as operações azuis mais de uma vez,
You can use operation blocks,Você pode usar os blocos de operações,
You can't go past 99 points,Você não pode passar de 99 pontos,
You're a star!,Você é uma estrela!,
